MODELO,MAE,RMSE,R2
Random Forest,0.01729200000000001,0.024372565519452407,0.1964532296246193
Gradient Boosting,0.019360512100040143,0.025766720781735378,0.10189529950096221
Regresión Lineal,0.022666712847861488,0.029041442642098687,-0.14089332530849896
